maskset_sk,wafer_layout,component_sk,component_id,ucs_die_x,ucs_die_y,ucs_flash_x,ucs_flash_y,ucs_die_in_flash_x,ucs_die_in_flash_y,ucs_die_origin_x,ucs_die_origin_y,ucs_flash_wafer_layout_sk,ucs_die_wafer_layout_sk,metrology17_site,sort_die_x,sort_die_y,sort_test_flag,wet_flash_x,wet_flash_y
90001838,KAMORTA,90001838,DEFAULT,-21,-10,-7,-2,0,0,-160076.6,-85153.25,90172461,96393633,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-21,-9,-7,-2,0,1,-160076.6,-78593.79,90172461,96393634,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-21,-8,-7,-2,0,2,-160076.6,-72034.33,90172461,96393635,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-21,-7,-7,-2,0,3,-160076.6,-65474.869999999995,90172461,96393636,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-21,-6,-7,-2,0,4,-160076.6,-58915.409999999996,90172461,96393637,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-21,-5,-7,-1,0,0,-160076.6,-52355.95,90172462,96393648,,-2,29,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-21,-4,-7,-1,0,1,-160076.6,-45796.49,90172462,96393649,,-2,28,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-21,-3,-7,-1,0,2,-160076.6,-39237.03,90172462,96393650,,-2,27,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-21,-2,-7,-1,0,3,-160076.6,-32677.569999999992,90172462,96393651,,-2,26,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-21,-1,-7,-1,0,4,-160076.6,-26118.109999999993,90172462,96393652,,-2,25,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-21,0,-7,0,0,0,-160076.6,-19558.649999999994,90172463,96393663,,-2,24,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-21,1,-7,0,0,1,-160076.6,-12999.189999999993,90172463,96393664,,-2,23,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-21,2,-7,0,0,2,-160076.6,-6439.729999999992,90172463,96393665,,-2,22,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-21,3,-7,0,0,3,-160076.6,119.73000000001048,90172463,96393666,,-2,21,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-21,4,-7,0,0,4,-160076.6,6679.19000000001,90172463,96393667,,-2,20,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-21,5,-7,1,0,0,-160076.6,13238.650000000009,90172464,96393678,,-2,19,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-21,6,-7,1,0,1,-160076.6,19798.110000000008,90172464,96393679,,-2,18,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-21,7,-7,1,0,2,-160076.6,26357.57000000001,90172464,96393680,,-2,17,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-21,8,-7,1,0,3,-160076.6,32917.03000000001,90172464,96393681,,-2,16,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-21,9,-7,1,0,4,-160076.6,39476.49000000001,90172464,96393682,,-2,15,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-21,10,-7,2,0,0,-160076.6,46035.95000000001,90172465,96393693,,-2,14,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-21,11,-7,2,0,1,-160076.6,52595.41000000001,90172465,96393694,,-2,13,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-21,12,-7,2,0,2,-160076.6,59154.87000000001,90172465,96393695,,-2,12,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-21,13,-7,2,0,3,-160076.6,65714.33000000002,90172465,96393696,,-2,11,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-21,14,-7,2,0,4,-160076.6,72273.79000000001,90172465,96393697,,-2,10,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-20,-10,-7,-2,1,0,-152805.64,-85153.25,90172461,96393638,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-20,-9,-7,-2,1,1,-152805.64,-78593.79,90172461,96393639,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-20,-8,-7,-2,1,2,-152805.64,-72034.33,90172461,96393640,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-20,-7,-7,-2,1,3,-152805.64,-65474.869999999995,90172461,96393641,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-20,-6,-7,-2,1,4,-152805.64,-58915.409999999996,90172461,96393642,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-20,-5,-7,-1,1,0,-152805.64,-52355.95,90172462,96393653,,-1,29,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-20,-4,-7,-1,1,1,-152805.64,-45796.49,90172462,96393654,,-1,28,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-20,-3,-7,-1,1,2,-152805.64,-39237.03,90172462,96393655,,-1,27,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-20,-2,-7,-1,1,3,-152805.64,-32677.569999999992,90172462,96393656,,-1,26,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-20,-1,-7,-1,1,4,-152805.64,-26118.109999999993,90172462,96393657,,-1,25,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-20,0,-7,0,1,0,-152805.64,-19558.649999999994,90172463,96393668,,-1,24,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-20,1,-7,0,1,1,-152805.64,-12999.189999999993,90172463,96393669,,-1,23,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-20,2,-7,0,1,2,-152805.64,-6439.729999999992,90172463,96393670,,-1,22,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-20,3,-7,0,1,3,-152805.64,119.73000000001048,90172463,96393671,,-1,21,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-20,4,-7,0,1,4,-152805.64,6679.19000000001,90172463,96393672,,-1,20,P,1,5
90001838,KAMORTA,90001838,DEFAULT,-20,5,-7,1,1,0,-152805.64,13238.650000000009,90172464,96393683,,-1,19,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-20,6,-7,1,1,1,-152805.64,19798.110000000008,90172464,96393684,,-1,18,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-20,7,-7,1,1,2,-152805.64,26357.57000000001,90172464,96393685,,-1,17,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-20,8,-7,1,1,3,-152805.64,32917.03000000001,90172464,96393686,,-1,16,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-20,9,-7,1,1,4,-152805.64,39476.49000000001,90172464,96393687,,-1,15,P,1,6
90001838,KAMORTA,90001838,DEFAULT,-20,10,-7,2,1,0,-152805.64,46035.95000000001,90172465,96393698,,-1,14,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-20,11,-7,2,1,1,-152805.64,52595.41000000001,90172465,96393699,,-1,13,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-20,12,-7,2,1,2,-152805.64,59154.87000000001,90172465,96393700,,-1,12,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-20,13,-7,2,1,3,-152805.64,65714.33000000002,90172465,96393701,,-1,11,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-20,14,-7,2,1,4,-152805.64,72273.79000000001,90172465,96393702,,-1,10,P,1,7
90001838,KAMORTA,90001838,DEFAULT,-19,-10,-7,-2,2,0,-145534.68,-85153.25,90172461,96393643,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-19,-9,-7,-2,2,1,-145534.68,-78593.79,90172461,96393644,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-19,-8,-7,-2,2,2,-145534.68,-72034.33,90172461,96393645,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-19,-7,-7,-2,2,3,-145534.68,-65474.869999999995,90172461,96393646,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-19,-6,-7,-2,2,4,-145534.68,-58915.409999999996,90172461,96393647,,,,,1,3
90001838,KAMORTA,90001838,DEFAULT,-19,-5,-7,-1,2,0,-145534.68,-52355.95,90172462,96393658,,0,29,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-19,-4,-7,-1,2,1,-145534.68,-45796.49,90172462,96393659,,0,28,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-19,-3,-7,-1,2,2,-145534.68,-39237.03,90172462,96393660,,0,27,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-19,-2,-7,-1,2,3,-145534.68,-32677.569999999992,90172462,96393661,,0,26,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-19,-1,-7,-1,2,4,-145534.68,-26118.109999999993,90172462,96393662,,0,25,P,1,4
90001838,KAMORTA,90001838,DEFAULT,-19,0,-7,0,2,0,-145534.68,-19558.649999999994,90172463,96393673,,0,24,T,1,5
90001838,KAMORTA,90001838,DEFAULT,-19,1,-7,0,2,1,-145534.68,-12999.189999999993,90172463,96393674,,0,23,T,1,5
90001838,KAMORTA,90001838,DEFAULT,-19,2,-7,0,2,2,-145534.68,-6439.729999999992,90172463,96393675,,0,22,T,1,5
90001838,KAMORTA,90001838,DEFAULT,-19,3,-7,0,2,3,-145534.68,119.73000000001048,90172463,96393676,,0,21,T,1,5
