wafer_layout,component_sk,ucs_die_x,ucs_die_y,ucs_flash_x,ucs_flash_y,ucs_die_in_flash_x,ucs_die_in_flash_y,ucs_die_origin_x,ucs_die_origin_y,ucs_flash_wafer_layout_sk,ucs_die_wafer_layout_sk,metrology17_site,sort_die_x,sort_die_y,sort_test_flag,wet_flash_x,wet_flash_y
product,90001838,-21,-10,-7,-2,0,0,-160076.6,-85153.25,90172461,96393633,,,,,1,3
product,90001838,-21,-9,-7,-2,0,1,-160076.6,-78593.79,90172461,96393634,,,,,1,3
product,90001838,-21,-8,-7,-2,0,2,-160076.6,-72034.33,90172461,96393635,,,,,1,3
product,90001838,-21,-7,-7,-2,0,3,-160076.6,-65474.87,90172461,96393636,,,,,1,3
product,90001838,-21,-6,-7,-2,0,4,-160076.6,-58915.41,90172461,96393637,,,,,1,3
product,90001838,-21,-5,-7,-1,0,0,-160076.6,-52355.95,90172462,96393648,,-2,29,P,1,4
product,90001838,-21,-4,-7,-1,0,1,-160076.6,-45796.49,90172462,96393649,,-2,28,P,1,4
product,90001838,-21,-3,-7,-1,0,2,-160076.6,-39237.03,90172462,96393650,,-2,27,P,1,4
product,90001838,-21,-2,-7,-1,0,3,-160076.6,-32677.57,90172462,96393651,,-2,26,P,1,4
product,90001838,-21,-1,-7,-1,0,4,-160076.6,-26118.11,90172462,96393652,,-2,25,P,1,4
product,90001838,-21,0,-7,0,0,0,-160076.6,-19558.65,90172463,96393663,,-2,24,P,1,5
product,90001838,-21,1,-7,0,0,1,-160076.6,-12999.19,90172463,96393664,,-2,23,P,1,5
product,90001838,-21,2,-7,0,0,2,-160076.6,-6439.73,90172463,96393665,,-2,22,P,1,5
product,90001838,-21,3,-7,0,0,3,-160076.6,119.73,90172463,96393666,,-2,21,P,1,5
product,90001838,-21,4,-7,0,0,4,-160076.6,6679.19,90172463,96393667,,-2,20,P,1,5
product,90001838,-21,5,-7,1,0,0,-160076.6,13238.65,90172464,96393678,,-2,19,P,1,6
product,90001838,-21,6,-7,1,0,1,-160076.6,19798.11,90172464,96393679,,-2,18,P,1,6
product,90001838,-21,7,-7,1,0,2,-160076.6,26357.57,90172464,96393680,,-2,17,P,1,6
product,90001838,-21,8,-7,1,0,3,-160076.6,32917.03,90172464,96393681,,-2,16,P,1,6
product,90001838,-21,9,-7,1,0,4,-160076.6,39476.49,90172464,96393682,,-2,15,P,1,6
product,90001838,-21,10,-7,2,0,0,-160076.6,46035.95,90172465,96393693,,-2,14,P,1,7
product,90001838,-21,11,-7,2,0,1,-160076.6,52595.41,90172465,96393694,,-2,13,P,1,7
product,90001838,-21,12,-7,2,0,2,-160076.6,59154.87,90172465,96393695,,-2,12,P,1,7
product,90001838,-21,13,-7,2,0,3,-160076.6,65714.33,90172465,96393696,,-2,11,P,1,7
product,90001838,-21,14,-7,2,0,4,-160076.6,72273.79,90172465,96393697,,-2,10,P,1,7
product,90001838,-20,-10,-7,-2,1,0,-152805.64,-85153.25,90172461,96393638,,,,,1,3
product,90001838,-20,-9,-7,-2,1,1,-152805.64,-78593.79,90172461,96393639,,,,,1,3
product,90001838,-20,-8,-7,-2,1,2,-152805.64,-72034.33,90172461,96393640,,,,,1,3
product,90001838,-20,-7,-7,-2,1,3,-152805.64,-65474.87,90172461,96393641,,,,,1,3
product,90001838,-20,-6,-7,-2,1,4,-152805.64,-58915.41,90172461,96393642,,,,,1,3
product,90001838,-20,-5,-7,-1,1,0,-152805.64,-52355.95,90172462,96393653,,-1,29,P,1,4
product,90001838,-20,-4,-7,-1,1,1,-152805.64,-45796.49,90172462,96393654,,-1,28,P,1,4
product,90001838,-20,-3,-7,-1,1,2,-152805.64,-39237.03,90172462,96393655,,-1,27,P,1,4
product,90001838,-20,-2,-7,-1,1,3,-152805.64,-32677.57,90172462,96393656,,-1,26,P,1,4
product,90001838,-20,-1,-7,-1,1,4,-152805.64,-26118.11,90172462,96393657,,-1,25,P,1,4
product,90001838,-20,0,-7,0,1,0,-152805.64,-19558.65,90172463,96393668,,-1,24,P,1,5
product,90001838,-20,1,-7,0,1,1,-152805.64,-12999.19,90172463,96393669,,-1,23,P,1,5
product,90001838,-20,2,-7,0,1,2,-152805.64,-6439.73,90172463,96393670,,-1,22,P,1,5
product,90001838,-20,3,-7,0,1,3,-152805.64,119.73,90172463,96393671,,-1,21,P,1,5
product,90001838,-20,4,-7,0,1,4,-152805.64,6679.19,90172463,96393672,,-1,20,P,1,5
product,90001838,-20,5,-7,1,1,0,-152805.64,13238.65,90172464,96393683,,-1,19,P,1,6
product,90001838,-20,6,-7,1,1,1,-152805.64,19798.11,90172464,96393684,,-1,18,P,1,6
product,90001838,-20,7,-7,1,1,2,-152805.64,26357.57,90172464,96393685,,-1,17,P,1,6
product,90001838,-20,8,-7,1,1,3,-152805.64,32917.03,90172464,96393686,,-1,16,P,1,6
product,90001838,-20,9,-7,1,1,4,-152805.64,39476.49,90172464,96393687,,-1,15,P,1,6
product,90001838,-20,10,-7,2,1,0,-152805.64,46035.95,90172465,96393698,,-1,14,P,1,7
product,90001838,-20,11,-7,2,1,1,-152805.64,52595.41,90172465,96393699,,-1,13,P,1,7
product,90001838,-20,12,-7,2,1,2,-152805.64,59154.87,90172465,96393700,,-1,12,P,1,7
product,90001838,-20,13,-7,2,1,3,-152805.64,65714.33,90172465,96393701,,-1,11,P,1,7
product,90001838,-20,14,-7,2,1,4,-152805.64,72273.79,90172465,96393702,,-1,10,P,1,7
product,90001838,-19,-10,-7,-2,2,0,-145534.68,-85153.25,90172461,96393643,,,,,1,3
product,90001838,-19,-9,-7,-2,2,1,-145534.68,-78593.79,90172461,96393644,,,,,1,3
product,90001838,-19,-8,-7,-2,2,2,-145534.68,-72034.33,90172461,96393645,,,,,1,3
product,90001838,-19,-7,-7,-2,2,3,-145534.68,-65474.87,90172461,96393646,,,,,1,3
product,90001838,-19,-6,-7,-2,2,4,-145534.68,-58915.41,90172461,96393647,,,,,1,3
product,90001838,-19,-5,-7,-1,2,0,-145534.68,-52355.95,90172462,96393658,,0,29,P,1,4
product,90001838,-19,-4,-7,-1,2,1,-145534.68,-45796.49,90172462,96393659,,0,28,P,1,4
product,90001838,-19,-3,-7,-1,2,2,-145534.68,-39237.03,90172462,96393660,,0,27,P,1,4
product,90001838,-19,-2,-7,-1,2,3,-145534.68,-32677.57,90172462,96393661,,0,26,P,1,4
product,90001838,-19,-1,-7,-1,2,4,-145534.68,-26118.11,90172462,96393662,,0,25,P,1,4
product,90001838,-19,0,-7,0,2,0,-145534.68,-19558.65,90172463,96393673,,0,24,T,1,5
product,90001838,-19,1,-7,0,2,1,-145534.68,-12999.19,90172463,96393674,,0,23,T,1,5
product,90001838,-19,2,-7,0,2,2,-145534.68,-6439.73,90172463,96393675,,0,22,T,1,5
product,90001838,-19,3,-7,0,2,3,-145534.68,119.73,90172463,96393676,,0,21,T,1,5
product,90001838,-19,4,-7,0,2,4,-145534.68,6679.19,90172463,96393677,,0,20,T,1,5
product,90001838,-19,5,-7,1,2,0,-145534.68,13238.65,90172464,96393688,,0,19,P,1,6
product,90001838,-19,6,-7,1,2,1,-145534.68,19798.11,90172464,96393689,,0,18,P,1,6
product,90001838,-19,7,-7,1,2,2,-145534.68,26357.57,90172464,96393690,,0,17,P,1,6
product,90001838,-19,8,-7,1,2,3,-145534.68,32917.03,90172464,96393691,,0,16,P,1,6
product,90001838,-19,9,-7,1,2,4,-145534.68,39476.49,90172464,96393692,,0,15,P,1,6
product,90001838,-19,10,-7,2,2,0,-145534.68,46035.95,90172465,96393703,,0,14,P,1,7
product,90001838,-19,11,-7,2,2,1,-145534.68,52595.41,90172465,96393704,,0,13,P,1,7
product,90001838,-19,12,-7,2,2,2,-145534.68,59154.87,90172465,96393705,,0,12,P,1,7
product,90001838,-19,13,-7,2,2,3,-145534.68,65714.33,90172465,96393706,,0,11,P,1,7
product,90001838,-19,14,-7,2,2,4,-145534.68,72273.79,90172465,96393707,,0,10,P,1,7
product,90001838,-18,-15,-6,-3,0,0,-138263.72,-117950.55,90172466,96393708,,1,39,P,2,2
product,90001838,-18,-14,-6,-3,0,1,-138263.72,-111391.09,90172466,96393709,,1,38,P,2,2
product,90001838,-18,-13,-6,-3,0,2,-138263.72,-104831.63,90172466,96393710,,1,37,P,2,2
product,90001838,-18,-12,-6,-3,0,3,-138263.72,-98272.17,90172466,96393711,,1,36,P,2,2
product,90001838,-18,-11,-6,-3,0,4,-138263.72,-91712.71,90172466,96393712,,1,35,P,2,2
product,90001838,-18,-10,-6,-2,0,0,-138263.72,-85153.25,90172467,96393723,,1,34,P,2,3
product,90001838,-18,-9,-6,-2,0,1,-138263.72,-78593.79,90172467,96393724,,1,33,P,2,3
product,90001838,-18,-8,-6,-2,0,2,-138263.72,-72034.33,90172467,96393725,,1,32,P,2,3
product,90001838,-18,-7,-6,-2,0,3,-138263.72,-65474.87,90172467,96393726,,1,31,P,2,3
product,90001838,-18,-6,-6,-2,0,4,-138263.72,-58915.41,90172467,96393727,,1,30,P,2,3
product,90001838,-18,-5,-6,-1,0,0,-138263.72,-52355.95,90172468,96393738,,1,29,P,2,4
product,90001838,-18,-4,-6,-1,0,1,-138263.72,-45796.49,90172468,96393739,,1,28,T,2,4
product,90001838,-18,-3,-6,-1,0,2,-138263.72,-39237.03,90172468,96393740,,1,27,T,2,4
product,90001838,-18,-2,-6,-1,0,3,-138263.72,-32677.57,90172468,96393741,,1,26,T,2,4
product,90001838,-18,-1,-6,-1,0,4,-138263.72,-26118.11,90172468,96393742,,1,25,T,2,4
product,90001838,-18,0,-6,0,0,0,-138263.72,-19558.65,90172469,96393753,11,1,24,T,2,5
product,90001838,-18,1,-6,0,0,1,-138263.72,-12999.19,90172469,96393754,11,1,23,T,2,5
product,90001838,-18,2,-6,0,0,2,-138263.72,-6439.73,90172469,96393755,11,1,22,T,2,5
product,90001838,-18,3,-6,0,0,3,-138263.72,119.73,90172469,96393756,11,1,21,T,2,5
product,90001838,-18,4,-6,0,0,4,-138263.72,6679.19,90172469,96393757,11,1,20,T,2,5
product,90001838,-18,5,-6,1,0,0,-138263.72,13238.65,90172470,96393768,,1,19,T,2,6
product,90001838,-18,6,-6,1,0,1,-138263.72,19798.11,90172470,96393769,,1,18,T,2,6
product,90001838,-18,7,-6,1,0,2,-138263.72,26357.57,90172470,96393770,,1,17,T,2,6
product,90001838,-18,8,-6,1,0,3,-138263.72,32917.03,90172470,96393771,,1,16,T,2,6
product,90001838,-18,9,-6,1,0,4,-138263.72,39476.49,90172470,96393772,,1,15,T,2,6
product,90001838,-18,10,-6,2,0,0,-138263.72,46035.95,90172471,96393783,,1,14,P,2,7
product,90001838,-18,11,-6,2,0,1,-138263.72,52595.41,90172471,96393784,,1,13,P,2,7
product,90001838,-18,12,-6,2,0,2,-138263.72,59154.87,90172471,96393785,,1,12,P,2,7
product,90001838,-18,13,-6,2,0,3,-138263.72,65714.33,90172471,96393786,,1,11,P,2,7
product,90001838,-18,14,-6,2,0,4,-138263.72,72273.79,90172471,96393787,,1,10,P,2,7
product,90001838,-18,15,-6,3,0,0,-138263.72,78833.25,90172472,96393798,,1,9,P,2,8
product,90001838,-18,16,-6,3,0,1,-138263.72,85392.71,90172472,96393799,,1,8,P,2,8
product,90001838,-18,17,-6,3,0,2,-138263.72,91952.17,90172472,96393800,,1,7,P,2,8
product,90001838,-18,18,-6,3,0,3,-138263.72,98511.63,90172472,96393801,,1,6,P,2,8
product,90001838,-18,19,-6,3,0,4,-138263.72,105071.09,90172472,96393802,,1,5,P,2,8
product,90001838,-17,-15,-6,-3,1,0,-130992.76,-117950.55,90172466,96393713,,2,39,P,2,2
product,90001838,-17,-14,-6,-3,1,1,-130992.76,-111391.09,90172466,96393714,,2,38,P,2,2
product,90001838,-17,-13,-6,-3,1,2,-130992.76,-104831.63,90172466,96393715,,2,37,P,2,2
product,90001838,-17,-12,-6,-3,1,3,-130992.76,-98272.17,90172466,96393716,,2,36,P,2,2
product,90001838,-17,-11,-6,-3,1,4,-130992.76,-91712.71,90172466,96393717,,2,35,P,2,2
product,90001838,-17,-10,-6,-2,1,0,-130992.76,-85153.25,90172467,96393728,,2,34,P,2,3
product,90001838,-17,-9,-6,-2,1,1,-130992.76,-78593.79,90172467,96393729,,2,33,P,2,3
product,90001838,-17,-8,-6,-2,1,2,-130992.76,-72034.33,90172467,96393730,,2,32,P,2,3
product,90001838,-17,-7,-6,-2,1,3,-130992.76,-65474.87,90172467,96393731,,2,31,T,2,3
product,90001838,-17,-6,-6,-2,1,4,-130992.76,-58915.41,90172467,96393732,,2,30,T,2,3
product,90001838,-17,-5,-6,-1,1,0,-130992.76,-52355.95,90172468,96393743,,2,29,T,2,4
product,90001838,-17,-4,-6,-1,1,1,-130992.76,-45796.49,90172468,96393744,,2,28,T,2,4
product,90001838,-17,-3,-6,-1,1,2,-130992.76,-39237.03,90172468,96393745,,2,27,T,2,4
product,90001838,-17,-2,-6,-1,1,3,-130992.76,-32677.57,90172468,96393746,,2,26,T,2,4
product,90001838,-17,-1,-6,-1,1,4,-130992.76,-26118.11,90172468,96393747,,2,25,T,2,4
product,90001838,-17,0,-6,0,1,0,-130992.76,-19558.65,90172469,96393758,11,2,24,T,2,5
product,90001838,-17,1,-6,0,1,1,-130992.76,-12999.19,90172469,96393759,11,2,23,T,2,5
product,90001838,-17,2,-6,0,1,2,-130992.76,-6439.73,90172469,96393760,11,2,22,T,2,5
